Designator,Mid X,Mid Y,Rotation,Layer
J10,18.95,4.49,180.0,top
J11,48.857,4.269601,90.0,top
J12,18.95,22.39,180.0,top
J13,48.857,22.169601,90.0,top
J14,18.95,40.29,180.0,top
J15,48.857,40.069601,90.0,top
J16,-3.27,12.369999,0.0,top
J17,-3.230001,27.569997,0.0,top
J18,-3.330001,42.419997,0.0,top
J19,8.4861,37.949998,270.0,top
J2,1.45,-33.775,90.0,top
J20,8.4861,23.249997,270.0,top
J21,8.4861,8.499998,270.0,top
J22,-24.17,12.469997,0.0,top
J23,-24.130001,27.669995,0.0,top
J24,-24.230001,42.519995,0.0,top
J25,-12.413901,38.049996,270.0,top
J26,-12.413901,23.349995,270.0,top
J27,-12.413901,8.599996,270.0,top
J28,-45.07,-11.715165,90.0,top
J29,-45.245,2.934835,90.0,top
J3,-24.6,68.85,0.0,top
J30,-45.295,17.709835,90.0,top
J31,-45.345,32.484835,90.0,top
J32,-45.345,47.309835,90.0,top
J33,-45.07,61.974835,90.0,top
J34,-35.3852,-15.670165,270.0,top
J35,-35.387801,-0.920164,270.0,top
J36,-35.387801,13.829836,270.0,top
J37,-35.374999,28.595335,270.0,top
J38,-35.375199,43.379837,270.0,top
J39,-35.3852,58.129834,270.0,top
J4,18.85,-49.21,180.0,top
J40,41.85,-69.75,90.0,top
J41,1.25,-68.65,90.0,top
J42,7.1,-68.65,90.0,top
J43,12.95,-68.65,90.0,top
J44,18.8,-68.65,90.0,top
J45,24.65,-68.65,90.0,top
J46,30.5,-68.65,90.0,top
J47,36.35,-68.65,90.0,top
J48,-37.315,-59.725,270.0,top
J49,-25.51,-25.99,90.0,top
J5,48.757,-49.430399,90.0,top
J50,-25.5,-22.1,90.0,top
J6,18.9,-31.31,180.0,top
J7,48.807,-31.530399,90.0,top
J8,18.9,-13.41,180.0,top
J9,48.807,-13.630399,90.0,top
K1,-44.7213,-18.980163,0.0,top
K2,-44.6963,-4.200163,0.0,top
K3,-44.8463,10.299837,0.0,top
K4,-44.818699,25.119835,0.0,top
K5,-44.743699,39.749835,0.0,top
K6,-44.643699,54.599835,0.0,top
L1,-27.675,-35.825,90.0,top
L2,39.45,66.05,180.0,top
L3,3.5,66.1,180.0,top
Q1,4.427499,43.299997,0.0,top
Q2,4.502499,28.449997,0.0,top
Q3,4.4125,13.799999,0.0,top
Q4,-16.472501,43.449995,0.0,top
Q5,-16.397501,28.549995,0.0,top
Q6,-16.4875,13.899997,0.0,top
R1,-36.775,-46.425,0.0,top
R10,-36.275,-50.085,90.0,top
R11,26.45,53.45,270.0,top
R12,31.4,52.65,0.0,top
R13,25.85,-42.65,0.0,top
R14,29.45,-42.65,0.0,top
R15,33.05,-42.65,0.0,top
R16,38.325,56.75,180.0,top
R17,35.75,54.4,270.0,top
R18,45.8,57.55,270.0,top
R19,-9.5,52.5125,270.0,top
R2,-10.72,-38.625,0.0,top
R20,-3.25,52.35,90.0,top
R21,2.25,56.85,180.0,top
R22,-0.25,54.525,270.0,top
R23,10.05,57.5625,270.0,top
R24,25.9,-24.75,0.0,top
R25,29.499999,-24.75,0.0,top
R26,33.1,-24.75,0.0,top
R27,25.9,-6.85,0.0,top
R28,29.499999,-6.85,0.0,top
R29,33.025,-6.9,0.0,top
R3,-27.375,-33.625,0.0,top
R30,25.95,11.05,0.0,top
R31,29.549999,11.05,0.0,top
R32,33.15,11.05,0.0,top
R33,25.95,28.95,0.0,top
R34,29.549999,28.95,0.0,top
R35,33.15,28.95,0.0,top
R36,25.95,46.85,0.0,top
R37,29.549999,46.85,0.0,top
R38,33.15,46.85,0.0,top
R39,2.639999,-18.050003,90.0,top
R4,-5.325,-30.725,0.0,top
R40,2.639999,-14.637503,270.0,top
R41,4.589999,-18.075003,90.0,top
R42,4.589999,-14.637503,270.0,top
R43,6.539999,-18.050003,90.0,top
R44,6.539999,-14.637503,270.0,top
