Designator,Mid X,Mid Y,Rotation,Layer
R20,161.904141,-95.362644,0.0,top
R21,161.24974,-86.21005,180.0,top
R22,169.42405,-68.05905,180.0,top
R23,161.76155,-77.15905,0.0,top
R24,161.14905,-68.15905,180.0,top
R25,169.493501,-50.026297,180.0,top
R26,161.656001,-59.126297,0.0,top
R27,161.593501,-49.926297,180.0,top
R28,106.95,-62.4017,180.0,top
R29,136.955,-62.17415,180.0,top
R3,70.14,-75.9525,90.0,top
R30,122.546699,-62.281748,0.0,top
R31,127.26,-81.1,270.0,top
R32,131.26,-81.025,270.0,top
R33,135.26,-81.025,270.0,top
R34,105.5875,-52.6213,180.0,top
R35,120.8467,-52.72415,180.0,top
R36,135.65,-52.5,180.0,top
R37,125.26,-80.35,270.0,top
R38,133.26,-80.35,270.0,top
R39,129.26,-80.35,270.0,top
R4,65.84,-69.0525,270.0,top
R40,99.56,-84.8725,270.0,top
R41,97.36,-84.8725,270.0,top
R42,99.5,-99.3875,270.0,top
R43,97.4,-99.3875,270.0,top
R44,99.7,-113.7875,270.0,top
R45,97.6,-113.7875,270.0,top
R46,118.8,-78.7,270.0,top
R47,116.25,-78.7,270.0,top
R48,113.75,-78.7,270.0,top
R49,111.15,-78.7,270.0,top
R5,68.14,-69.7525,0.0,top
R50,107.0,-78.7,270.0,top
R51,104.2,-78.6875,270.0,top
R52,80.617938,-57.3975,180.0,top
R53,80.605438,-54.8475,180.0,top
R54,99.8,-78.6,270.0,top
R6,65.34,-64.4525,0.0,top
R7,68.2269,-128.6,0.0,top
R8,69.5394,-120.3,0.0,top
R9,68.5394,-117.5,90.0,top
R_ESR1,67.86,-67.3025,270.0,top
R_ESR2,66.5994,-108.91,270.0,top
U1,66.3,-76.3625,90.0,top
U10,165.20405,-72.63405,180.0,top
U11,152.4715,-54.728702,90.0,top
U12,165.195001,-54.525,180.0,top
U13,93.2641,-131.66,0.0,top
U14,130.205,-71.75,90.0,top
U15,106.645,-57.72585,0.0,top
U16,122.1467,-57.62415,0.0,top
U17,136.75,-57.55,0.0,top
U18,114.355,-72.849999,270.0,top
U19,102.555,-72.850001,270.0,top
U2,64.8444,-117.63415,90.0,top
U3,152.45,-127.905,90.0,top
U4,165.255001,-127.124999,180.0,top
U5,152.45,-109.604999,90.0,top
U6,165.255,-108.925001,180.0,top
U7,152.408099,-91.328702,90.0,top
U8,165.21724,-90.78505,180.0,top
U9,152.45,-73.104999,90.0,top
